Date,All Commodity Price Index,Non-Fuel Price Index,Food and Beverage Price Index,Food Price Index,Beverage Price Index,Industrial Inputs Price Index,Agricultural Raw Materials Index,Metals Price Index,Fuel Energy Index
01-08-2002,60.53186652,79.12870501,86.21070626,86.52872257,83.27512035,71.97530669,99.09235351,52.38834401,49.65207086
01-09-2002,62.92855558,81.03559119,88.54767138,88.16791347,92.05318973,73.4477781,102.4338157,52.51082138,52.33531158
01-10-2002,62.71651679,81.38905476,89.04069265,88.50173305,94.0157904,73.66027703,102.3834246,52.91320885,51.7924343
01-11-2002,59.66089308,80.62062145,87.15261959,87.06489952,87.96235736,74.02277109,100.052075,55.22149795,47.39872486
01-12-2002,62.65693983,79.97331826,87.72074322,87.33730787,91.26020774,72.14778777,95.31912956,55.41085437,52.52625771
01-01-2003,66.46589696,81.33148421,89.26072758,88.43889638,96.84699303,73.32230231,95.8913297,57.02042771,57.76901271
01-02-2003,69.35261593,81.88724755,89.4298272,88.39063939,99.02249603,74.26862751,96.02380576,58.55460573,62.01942159
01-03-2003,65.72640875,80.04645415,87.14865997,86.79655776,90.39889046,72.87264757,94.17269062,57.48737531,57.3486854
01-04-2003,60.68916888,79.668209,86.90130493,86.58852982,89.78850977,72.36219274,95.67186753,55.52533978,49.58577201
01-05-2003,61.47085084,80.14239949,88.56099935,88.97822648,84.70960531,71.63892767,90.73756196,57.84375892,50.54734714
01-06-2003,62.98943402,79.19842839,85.98222977,86.65186961,79.80083198,72.34623624,91.25587533,58.68758095,53.50661
01-07-2003,63.29369612,78.42737022,83.10882975,83.39150845,80.49944281,73.69871463,93.01810699,59.74408973,54.43997176
01-08-2003,64.94796753,79.78215426,84.27238498,84.67717072,80.53583654,75.24665536,95.37719586,60.70612858,56.26945367
01-09-2003,63.03178404,81.94802382,87.8055841,88.32679656,82.99430886,76.03141066,97.19406144,60.74537845,51.96512753
01-10-2003,66.3894508,85.16813204,91.43198319,92.8126287,78.68734258,78.84113199,98.94614917,64.31904101,55.40327082
01-11-2003,67.3194551,86.94309583,93.38779701,94.9613274,78.86264978,80.43342251,99.16404658,66.90407189,55.83894451
01-12-2003,69.10168972,88.14170082,94.10935055,95.23840364,83.68714168,82.11388834,97.59635273,70.93072175,57.9626227
01-01-2004,71.96019146,91.80786034,97.48628241,98.67974003,86.4695599,86.07219136,100.1640123,75.89350294,60.34861663
01-02-2004,73.00877216,94.66727599,100.1576169,101.801091,84.98682452,89.12158431,100.9240796,80.59650281,60.33779607
01-03-2004,76.51457111,96.87720702,104.7465661,107.1138336,82.89448776,88.92851317,99.3676155,81.38822647,64.60172269
01-04-2004,77.06672785,97.04730019,106.1339293,109.0499091,79.21672671,87.86906438,96.92170135,81.33023795,65.37739988
01-05-2004,81.05719481,96.52906116,106.3478747,109.2404886,79.64636102,86.61125942,99.86023666,77.04136694,72.00561626
01-06-2004,79.14525731,95.81992283,103.1717215,105.4542609,82.10176266,88.39400712,100.6580108,79.53557262,69.38999951
01-07-2004,81.44545622,95.20019821,100.4464693,102.3586075,82.79565736,89.90103691,100.934527,81.93141688,73.39845498
01-08-2004,84.6088549,92.94306373,96.49402153,97.52329971,86.99282782,89.35630702,101.2131085,80.79199948,79.73305361
01-09-2004,83.63187975,92.18619752,94.71982251,95.54635493,87.09016046,89.62702985,100.2081404,81.98416895,78.62730709
01-10-2004,89.22494709,91.59530201,91.52576327,92.61394683,81.4808182,91.66554179,99.59055261,85.94121303,87.83820724
01-11-2004,84.51258773,91.898536,92.62623927,93.08121058,88.42643137,91.1634964,97.47956402,86.60132629,80.19155177
